Date,Price,Open,High,Low,Vol.,Change %
6/17/2017,2655.88,2514.01,2685.19,2484.96,1534509952,5.64
6/18/2017,2548.29,2655.35,2662.1,2516.33,1178659968,-4.03
6/19/2017,2589.6,2549.03,2662.85,2549.03,1446840064,1.59
6/20/2017,2721.79,2591.26,2763.45,2589.82,1854189952,5.04
6/21/2017,2689.1,2709.43,2772.01,2660.4,1626579968,-0.75
6/22/2017,2705.41,2691.03,2723.74,2642.36,1097939968,0.53
6/23/2017,2744.91,2707.34,2765.17,2706.37,961318976,1.39
6/24/2017,2608.72,2738.52,2757.94,2583.19,982750016,-4.74
6/25/2017,2589.41,2607.25,2682.26,2552.12,1161100032,-0.68
6/26/2017,2478.45,2590.57,2615.25,2376.29,1663280000,-4.33
6/27/2017,2552.45,2478.45,2552.45,2332.99,1489789952,2.99
6/28/2017,2574.79,2553.03,2603.98,2484.42,1183869952,0.85
6/29/2017,2539.32,2567.56,2588.83,2510.48,949979008,-1.1
6/30/2017,2480.84,2539.24,2559.25,2478.43,860273024,-2.3
7/1/2017,2434.55,2492.6,2515.27,2419.23,779913984,-2.33
7/2/2017,2506.47,2436.4,2514.28,2394.84,803747008,2.88
7/3/2017,2564.06,2498.56,2595,2480.47,964112000,2.62
7/4/2017,2601.64,2561,2631.59,2559.35,985516032,1.59
7/5/2017,2601.99,2602.87,2622.65,2538.55,941566016,-0.03
7/6/2017,2608.56,2608.1,2616.72,2581.69,761956992,0.02
7/7/2017,2518.66,2608.59,2916.14,2498.87,917411968,-3.45
7/8/2017,2571.34,2520.27,2571.34,2492.31,733329984,2.03
7/9/2017,2518.44,2572.61,2635.49,2517.59,527856000,-2.11
7/10/2017,2372.56,2525.25,2537.16,2321.13,1111200000,-6.05
7/11/2017,2337.79,2385.89,2413.47,2296.81,1329760000,-2.02
7/12/2017,2398.84,2332.77,2423.71,2275.14,1117410048,2.83
7/13/2017,2357.9,2402.7,2425.22,2340.83,835769984,-1.86
7/14/2017,2233.34,2360.59,2363.25,2183.22,882502976,-5.39
7/15/2017,1998.86,2230.12,2231.14,1990.41,993608000,-10.37
7/16/2017,1929.82,1991.98,2058.77,1843.03,1182870016,-3.12
7/17/2017,2228.41,1932.62,2230.49,1932.62,1201760000,15.31
7/18/2017,2318.88,2233.52,2387.61,2164.77,1512450048,3.82
7/19/2017,2273.43,2323.08,2397.17,2260.23,1245100032,-2.14
7/20/2017,2817.6,2269.89,2900.7,2269.89,2249260032,24.13
7/21/2017,2667.76,2838.41,2838.41,2621.85,1489449984,-6.01
7/22/2017,2810.12,2668.63,2862.42,2657.71,1177129984,5.3
7/23/2017,2730.4,2808.1,2832.18,2653.94,1072840000,-2.77
7/24/2017,2754.86,2732.7,2777.26,2699.19,866473984,0.81
7/25/2017,2576.48,2757.5,2768.08,2480.96,1460089984,-6.56
7/26/2017,2529.45,2577.77,2610.76,2450.8,937404032,-1.87
7/27/2017,2671.78,2538.71,2693.32,2529.34,789104000,5.24
7/28/2017,2809.01,2679.73,2897.45,2679.73,1380099968,4.82
7/29/2017,2726.45,2807.02,2808.76,2692.8,803745984,-2.87
7/30/2017,2757.18,2724.39,2758.53,2644.85,705942976,1.2
7/31/2017,2875.34,2763.24,2889.62,2720.61,860574976,4.06
8/1/2017,2718.26,2871.3,2921.35,2685.61,1324669952,-5.33
8/2/2017,2710.67,2727.13,2762.53,2668.59,1094950016,-0.6
8/3/2017,2804.73,2709.56,2813.31,2685.14,804796992,3.51
8/4/2017,2895.89,2806.93,2899.33,2743.72,1002120000,3.17
8/5/2017,3252.91,2897.63,3290.01,2874.83,1945699968,12.26
8/6/2017,3213.94,3257.61,3293.29,3155.6,1105030016,-1.34
8/7/2017,3378.94,3212.78,3397.68,3180.89,1482279936,5.17
8/8/2017,3419.94,3370.22,3484.85,3345.83,1752760064,1.48
8/9/2017,3342.47,3420.4,3422.76,3247.67,1468960000,-2.28
8/10/2017,3381.28,3341.84,3453.45,3319.47,1515110016,1.18
8/11/2017,3650.62,3373.82,3679.72,3372.12,2021190016,8.2
8/12/2017,3884.71,3650.63,3949.92,3613.7,2219589888,6.41
8/13/2017,4073.26,3880.04,4208.39,3857.8,3159089920,4.98
8/14/2017,4325.13,4066.1,4325.13,3989.16,2463089920,6.37
8/15/2017,4181.93,4326.99,4455.97,3906.18,3258050048,-3.35
8/16/2017,4376.63,4200.34,4381.23,3994.42,2272039936,4.2
8/17/2017,4331.69,4384.44,4484.7,4243.71,2553359872,-1.2
8/18/2017,4160.62,4324.34,4370.13,4015.4,2941710080,-3.79
8/19/2017,4193.7,4137.75,4243.26,3970.55,2975820032,1.35
8/20/2017,4087.66,4189.31,4196.29,4069.88,2109769984,-2.43
8/21/2017,4001.74,4090.48,4109.14,3988.6,2800890112,-2.17
8/22/2017,4100.52,3998.35,4128.76,3674.58,3764239872,2.56
8/23/2017,4151.52,4089.01,4255.78,4078.41,2369819904,1.53
8/24/2017,4334.68,4137.6,4376.39,4130.26,2037750016,4.76
8/25/2017,4371.6,4332.82,4455.7,4307.35,1727970048,0.9
8/26/2017,4352.4,4372.06,4379.28,4269.52,1511609984,-0.45
8/27/2017,4382.88,4345.1,4416.59,4317.29,1537459968,0.87
8/28/2017,4382.66,4384.45,4403.93,4224.64,1959330048,-0.04
8/29/2017,4579.02,4389.21,4625.68,4352.13,2486080000,4.32
8/30/2017,4565.3,4570.36,4626.52,4471.41,1937849984,-0.11
8/31/2017,4703.39,4555.59,4736.05,4549.4,1944930048,3.24
9/1/2017,4892.01,4701.76,4892.01,4678.53,2599079936,4.05
9/2/2017,4578.77,4901.42,4975.04,4469.24,2722139904,-6.58
9/3/2017,4582.96,4585.27,4714.08,4417.59,1933190016,-0.05
9/4/2017,4236.31,4591.63,4591.63,4108.4,2987330048,-7.74
9/5/2017,4376.53,4228.29,4427.84,3998.11,2697969920,3.51
9/6/2017,4597.12,4376.59,4617.25,4376.59,2172100096,5.04
9/7/2017,4599.88,4589.14,4655.04,4491.33,1844620032,0.23
9/8/2017,4228.75,4605.16,4661,4075.18,2700890112,-8.17
9/9/2017,4226.06,4229.81,4308.82,4114.11,1386230016,-0.09
9/10/2017,4122.94,4229.34,4245.44,3951.04,1679090048,-2.52
9/11/2017,4161.27,4122.47,4261.67,4099.4,1557330048,0.94
9/12/2017,4130.81,4168.88,4344.65,4085.22,1864530048,-0.91
9/13/2017,3882.59,4131.98,4131.98,3789.92,2219409920,-6.04
9/14/2017,3154.95,3875.37,3920.6,3153.86,2716310016,-18.59
9/15/2017,3637.52,3166.3,3733.45,2946.62,4148069888,14.88
9/16/2017,3625.04,3637.75,3808.84,3487.79,1818400000,-0.35
9/17/2017,3582.88,3606.28,3664.81,3445.64,1239149952,-0.65
9/18/2017,4065.2,3591.09,4079.23,3591.09,1943209984,13.2
9/19/2017,3924.97,4073.79,4094.07,3868.87,1563980032,-3.65
9/20/2017,3905.95,3916.36,4031.39,3857.73,1213830016,-0.27
9/21/2017,3631.04,3901.47,3916.42,3613.63,1411480064,-6.93
9/22/2017,3630.7,3628.02,3758.27,3553.53,1194829952,0.07
9/23/2017,3792.4,3629.92,3819.21,3594.58,928113984,4.48
9/24/2017,3682.84,3796.15,3796.15,3666.9,768014976,-2.98
9/25/2017,3926.07,3681.58,3950.25,3681.58,1374210048,6.64
9/26/2017,3892.35,3928.41,3969.89,3869.9,1043740032,-0.92
9/27/2017,4200.67,3892.94,4210.05,3884.82,1686880000,7.9
9/28/2017,4174.73,4197.13,4279.31,4109.7,1712320000,-0.53
9/29/2017,4163.07,4171.62,4214.63,4039.29,1367049984,-0.2
9/30/2017,4338.71,4166.11,4358.43,4160.86,1207449984,4.14
10/1/2017,4403.74,4341.05,4403.74,4269.81,1208210048,1.44
10/2/2017,4409.32,4395.81,4470.23,4377.46,1431730048,0.31
10/3/2017,4317.48,4408.46,4432.47,4258.89,1288019968,-2.06
10/4/2017,4229.36,4319.37,4352.31,4210.42,1116770048,-2.08
10/5/2017,4328.41,4229.88,4362.64,4164.05,1161769984,2.33
10/6/2017,4370.81,4324.46,4413.27,4320.53,1069939968,1.07
10/7/2017,4426.89,4369.35,4443.88,4321.05,906928000,1.32
10/8/2017,4610.48,4429.67,4624.14,4405.64,1313869952,4.08
10/9/2017,4772.02,4614.52,4878.71,4564.25,1968739968,3.41
10/10/2017,4781.99,4776.21,4922.17,4765.1,1597139968,0.12
10/11/2017,4826.48,4789.25,4873.73,4751.63,1222279936,0.78
10/12/2017,5446.91,4829.58,5446.91,4822,2791610112,12.78
10/13/2017,5647.21,5464.16,5840.3,5436.85,3615480064,3.35
10/14/2017,5831.79,5643.53,5837.7,5591.64,1669030016,3.34
